c,opponent,run_id,agent_score,opponent_score,score_diff,win,turns,replay_path
0.8,starter_baseline,2,16.0,40.0,-24.0,0,17,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.80/starter_baseline/run_2.replay
0.8,starter_baseline,3,7.0,40.0,-33.0,0,17,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.80/starter_baseline/run_3.replay
0.8,defensive_opponent,1,44.0,0.0,44.0,1,47,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.80/defensive_opponent/run_1.replay
0.8,defensive_opponent,2,41.0,1.0,40.0,1,46,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.80/defensive_opponent/run_2.replay
0.8,defensive_opponent,3,40.0,0.0,40.0,1,50,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.80/defensive_opponent/run_3.replay
0.8,aggressive_opponent,1,14.0,41.0,-27.0,0,44,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.80/aggressive_opponent/run_1.replay
0.8,aggressive_opponent,2,21.0,41.0,-20.0,0,44,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.80/aggressive_opponent/run_2.replay
0.8,aggressive_opponent,3,13.0,41.0,-28.0,0,44,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.80/aggressive_opponent/run_3.replay
0.9,starter_baseline,1,17.0,47.0,-30.0,0,11,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.90/starter_baseline/run_1.replay
0.9,starter_baseline,2,11.0,42.0,-31.0,0,21,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.90/starter_baseline/run_2.replay
0.9,starter_baseline,3,13.0,47.0,-34.0,0,11,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.90/starter_baseline/run_3.replay
0.9,defensive_opponent,1,40.0,1.0,39.0,1,37,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.90/defensive_opponent/run_1.replay
0.9,defensive_opponent,2,42.0,4.0,38.0,1,45,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.90/defensive_opponent/run_2.replay
0.9,defensive_opponent,3,44.0,5.0,39.0,1,48,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.90/defensive_opponent/run_3.replay
0.9,aggressive_opponent,1,44.0,41.0,3.0,0,70,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.90/aggressive_opponent/run_1.replay
0.9,aggressive_opponent,2,41.0,41.0,0.0,0,65,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.90/aggressive_opponent/run_2.replay
0.9,aggressive_opponent,3,41.0,41.0,0.0,0,65,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.90/aggressive_opponent/run_3.replay
1.0,starter_baseline,1,8.0,47.0,-39.0,0,11,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_1.00/starter_baseline/run_1.replay
1.0,starter_baseline,2,8.0,47.0,-39.0,0,11,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_1.00/starter_baseline/run_2.replay
1.0,starter_baseline,3,13.0,46.0,-33.0,0,11,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_1.00/starter_baseline/run_3.replay
1.0,defensive_opponent,1,44.0,5.0,39.0,1,80,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_1.00/defensive_opponent/run_1.replay
1.0,defensive_opponent,2,40.0,3.0,37.0,1,77,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_1.00/defensive_opponent/run_2.replay
1.0,defensive_opponent,3,40.0,9.0,31.0,1,62,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_1.00/defensive_opponent/run_3.replay
1.0,aggressive_opponent,1,43.0,15.0,28.0,1,47,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_1.00/aggressive_opponent/run_1.replay
1.0,aggressive_opponent,2,43.0,17.0,26.0,1,47,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_1.00/aggressive_opponent/run_2.replay
1.0,aggressive_opponent,3,42.0,15.0,27.0,1,45,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_1.00/aggressive_opponent/run_3.replay
